,Time,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,no_empty_15_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
3,00:00:00,300,348,378,341,331,342,316,363,305,353,335,273,170,138,148,164,142,129,160,113,124,130,145,135,158,159,150,155,141,126,129,136,118,112,104,133,145,107,135,140,120,147,141,135,161,135,139,155,141,149,131,122,112,147,129,127,132,145,105,129,128,113,156,142,154,135,143,151,150,138,128,133,149,141,145,135,131,144,128,122,158,147,126,150,146,158
4,00:03:00,252,330,306,292,300,304,273,312,269,306,291,243,117,100,108,118,113,105,142,101,106,137,127,115,117,117,111,99,82,116,106,82,79,89,86,97,92,74,94,99,108,99,108,113,110,89,93,106,105,95,88,81,100,109,100,85,88,107,90,85,105,78,102,82,113,105,102,108,88,96,103,112,98,87,102,98,120,94,80,84,104,115,98,109,115,100
5,00:06:00,207,295,298,264,282,284,245,270,239,272,267,230,107,91,87,120,102,121,174,113,106,104,87,108,92,91,81,94,74,85,83,80,73,77,85,91,71,72,98,96,98,67,90,83,105,84,84,69,77,72,79,73,77,78,81,85,85,83,55,80,90,83,100,82,86,80,88,86,86,92,88,76,79,79,85,72,79,80,66,100,96,96,91,87,86,84
6,00:09:00,200,275,275,255,272,248,236,247,217,279,247,194,123,99,116,177,201,310,421,285,185,81,89,94,87,88,79,90,83,83,107,88,118,162,152,148,150,137,236,252,221,61,51,77,56,69,76,90,81,73,114,135,108,133,124,139,132,154,142,207,202,215,61,70,71,75,73,75,84,87,94,91,113,114,144,138,138,165,139,172,290,293,274,86,69,55
7,00:12:00,221,265,259,268,253,266,242,248,227,297,286,248,275,279,286,543,648,925,1197,806,621,87,88,73,92,106,86,129,114,110,212,223,310,436,505,433,412,441,765,909,812,82,73,66,74,85,82,126,117,136,346,402,340,436,437,436,446,533,473,757,742,843,67,55,57,104,95,104,197,226,195,306,263,288,452,461,484,491,390,574,1075,1009,998,66,50,69
8,00:15:00,205,274,260,251,263,264,246,271,214,428,404,384,683,721,748,1421,1739,2283,2684,1873,1764,92,101,90,139,132,120,263,241,256,576,607,854,1182,1381,1160,1063,1195,1878,2358,2348,109,80,94,148,135,150,296,303,321,915,1147,926,1157,1220,1202,1239,1569,1288,1993,1983,2175,105,101,95,173,164,190,497,584,491,763,755,796,1259,1241,1277,1339,1042,1496,2723,2507,2432,79,70,62
9,00:18:00,235,286,267,225,252,259,275,318,263,738,745,768,1631,1660,1718,2883,3613,4357,4873,3561,3755,112,130,104,235,188,195,565,553,570,1323,1447,1924,2507,2970,2530,2270,2481,3594,4666,4701,189,141,151,300,277,274,726,667,759,1977,2638,2089,2533,2618,2502,2606,3373,2749,3890,3921,4293,179,178,162,397,338,387,1102,1214,1088,1720,1642,1783,2788,2692,2747,2874,2222,3034,5249,4724,4584,61,63,57
10,00:21:00,254,293,298,251,255,258,387,432,353,1183,1285,1412,2971,2948,3070,4540,5844,7113,7063,5237,6101,146,150,138,381,344,309,1080,1025,1041,2339,2540,3306,4242,4920,4294,3722,4167,5667,7677,7464,314,220,224,535,509,516,1395,1239,1350,3380,4705,3672,4371,4530,4165,4501,5994,4702,6252,6276,6830,264,261,245,769,591,698,1937,2032,1833,2997,2927,3104,4920,4707,4647,5071,3782,4930,8389,7369,7150,73,68,50
11,00:24:00,291,338,298,259,259,272,573,627,498,1718,1982,2161,4262,4174,4334,6310,7437,9353,9103,7092,8318,188,177,177,593,534,460,1722,1659,1689,3385,3655,4857,5865,6726,5997,5166,5870,7444,10354,9827,482,350,314,871,831,833,2192,1886,2017,4837,6569,5271,6311,6331,5717,6396,8487,6605,8348,8683,9243,370,379,340,1170,946,1079,2869,2994,2665,4371,4241,4491,6921,6483,6373,7179,5283,6601,11075,9565,9510,82,68,65
12,00:27:00,371,412,370,262,272,275,915,1020,786,2363,2787,2995,5685,5432,5844,8145,9172,11462,10974,8967,10541,232,232,202,937,807,697,2519,2427,2487,4592,4939,6525,7542,8467,7677,6503,7560,8982,12879,12063,719,530,436,1354,1243,1221,3207,2697,2871,6390,8515,6865,8327,8239,7311,7893,10795,8138,10072,10420,11483,549,551,505,1727,1401,1628,4115,4061,3508,5949,5805,5848,8819,8395,7898,9059,6762,8413,13654,11648,12204,82,61,75
