,Time,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_15_rep_3,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_10_rep_3,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
10,00:30:00,88,93,97,90,102,97,380,365,397,1866,1419,1610,6212,5900,5608,6571,6322,6898,12184,7963,9553,188,169,166,495,532,530,1728,1622,1466,3715,3463,2916,6007,7165,6311,9419,9037,8487,11317,10299,11109,199,179,143,332,280,300,1022,858,910,2116,2406,2288,5815,6492,5533,8452,7419,7823,8217,9909,8567,282,244,223,634,825,628,1597,1728,1606,5384,4352,4153,6630,8254,6067,10237,8130,9603,11896,11006,11227,74,59,76
11,00:33:00,84,115,78,129,118,122,579,538,583,2571,1943,2163,7540,7215,6841,7765,7357,8076,14098,9384,10830,244,214,220,704,728,702,2259,2168,1912,4713,4729,3596,7350,8744,7525,11113,10713,9933,12514,11935,12874,235,218,174,436,402,407,1302,1167,1231,2780,3149,2968,7188,7847,6629,10010,8883,9145,9558,11522,9843,333,313,273,834,1035,811,2099,2258,2085,6579,5322,5009,7863,9800,7204,11934,9430,11089,13710,12520,12968,75,64,56
12,00:36:00,85,105,101,167,134,172,776,748,832,3408,2498,2899,8790,8537,8070,9169,8478,9318,15907,10899,12293,285,270,264,946,909,892,2961,2822,2522,5623,5849,4389,8621,10408,8913,12820,12555,11322,13355,13554,14635,284,259,224,557,514,492,1690,1503,1597,3514,3995,3700,8552,9298,7716,11640,10420,10481,11116,13364,11206,389,385,351,1033,1313,1020,2582,2844,2628,7820,6225,5940,9025,11497,8497,13765,10749,12553,15489,13991,14613,87,63,58
13,00:39:00,103,117,117,214,204,232,1072,1007,1151,4266,3270,3762,10044,9762,9372,10768,9710,10404,17616,12324,13532,355,321,320,1227,1147,1138,3741,3592,3145,6616,7031,5260,10031,11992,10341,14481,14382,12841,14552,15097,16186,322,304,264,738,666,654,2104,1969,2058,4373,4948,4566,10031,10548,8845,13251,11776,11721,12617,14974,12706,477,486,411,1298,1663,1283,3171,3531,3270,9169,7116,6969,10327,12878,9736,15450,12064,13731,17440,15387,16178,94,65,76
14,00:42:00,119,128,125,280,260,317,1414,1347,1556,5228,4103,4829,11387,11252,10789,12488,10992,11629,19432,13836,14986,421,418,414,1554,1467,1424,4580,4495,3979,7689,8260,6075,11498,13629,11993,16149,15959,14378,15767,16752,17892,399,358,324,942,826,826,2607,2477,2530,5226,5809,5329,11537,11931,10219,14820,13451,13081,14163,16711,14310,568,597,512,1627,2030,1624,3919,4315,3968,10394,8094,8102,11780,14628,11176,17198,13420,15171,19448,17172,17867,84,74,76
15,00:45:00,146,144,125,375,347,418,1815,1746,1973,6245,5003,5990,12655,12559,12187,14248,12407,12893,21130,15658,16337,524,498,524,1933,1775,1742,5743,5448,4843,8937,9450,7034,12988,15141,13725,17888,17716,16095,17819,18226,19551,472,441,408,1180,1019,1036,3232,3063,3154,6002,6707,6152,13064,13506,11428,16421,14710,14580,15972,18348,15979,694,763,629,2021,2433,1989,4829,5187,4746,11867,9151,9194,13091,16232,12540,18840,14795,16566,21545,18985,19390,86,79,59
16,00:48:00,174,165,158,488,417,535,2329,2218,2465,7339,5884,7055,13839,13821,13736,16024,14068,14277,22786,17830,17894,641,600,620,2320,2183,2196,6969,6498,5865,10184,10741,8012,14669,16564,15530,19782,19280,17365,20142,20020,21249,544,508,451,1447,1285,1293,3886,3779,3948,7028,7630,7094,14484,15047,12786,17908,16257,15925,17690,20091,17823,866,918,761,2463,2902,2415,6088,6118,5631,13264,10406,10388,14584,18021,14214,20296,16154,18116,23216,20999,21187,101,63,80
17,00:51:00,192,195,178,605,527,686,2949,2781,3071,8466,6802,8099,15206,15381,15319,17409,15964,15844,24125,19852,19419,768,746,765,2838,2619,2565,8219,7588,6990,11406,12131,8985,16488,18183,17399,21191,20893,19124,21840,21500,22812,647,581,540,1691,1514,1537,4578,4546,4618,7864,8512,7993,15966,16185,14328,19405,17760,17414,19526,21669,19675,1016,1050,891,2935,3465,2909,7183,7199,6600,14685,11603,11773,16163,19478,15738,21629,17805,19741,25124,23087,22865,89,68,92
18,00:54:00,222,221,195,735,665,845,3669,3380,3725,9512,7716,9217,16836,16868,16765,18993,17600,17316,25824,21906,21006,922,889,912,3347,3111,3066,9583,8790,8035,12793,13497,10099,18359,19534,19058,22859,22446,20533,23900,22828,24445,750,690,624,2061,1861,1862,5333,5364,5611,8819,9659,8973,17367,17538,15969,20871,19317,18802,21467,23311,21392,1177,1262,1060,3463,4067,3424,8370,8246,7594,15915,13032,13174,18041,21030,17259,23101,19400,21734,26313,24726,24295,107,75,72
19,00:57:00,278,255,246,930,829,1041,4436,4098,4588,10683,8725,10291,18348,18175,18253,20333,19341,18971,26895,23636,22716,1089,1055,1095,3849,3703,3544,10790,9952,9123,14146,14863,11246,20031,21129,20721,24147,23822,22198,25059,24426,26015,861,808,760,2376,2217,2214,6263,6365,6564,9846,10775,10032,18745,18975,17355,22227,20476,20308,23365,24510,23060,1381,1481,1218,4080,4619,4070,9561,9215,8712,17380,14790,14452,19816,22734,18922,24616,21460,23557,28239,26360,25727,106,72,87
