,Time,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_15_rep_3,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_10_rep_3,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
983,00:00:34,102,76,89,90,92,81,102,107,80,85,101,97,97,87,88,92,92,91,90,80,119,94,110,80,104,90,102,103,103,100,96,94,99,91,90,96,84,78,94,93,117,89,91,101,92,98,100,96,89,109,91,111,96,95,88,109,117,115,95,92,108,102,112,122,110,105,119,132,116,120,127,113,122,120,117,118,126,106,107,118,125,121,115,129,148,122,142
984,00:03:34,68,76,82,88,64,85,74,80,60,75,74,71,63,65,85,67,81,76,71,68,82,79,71,88,84,76,80,87,85,77,77,80,72,78,75,95,92,81,74,84,85,80,86,88,100,100,70,93,87,85,90,75,91,72,83,85,78,83,80,88,66,88,95,102,93,91,105,97,91,90,81,111,76,93,82,89,84,93,88,92,94,88,85,92,95,128,108
985,00:06:34,63,74,56,61,56,60,69,77,56,58,72,63,62,73,73,62,58,65,68,71,65,66,65,66,76,77,79,82,65,72,70,80,70,72,71,65,54,67,61,78,61,73,71,71,71,64,62,62,55,69,68,58,71,74,62,62,68,70,68,55,71,83,61,70,75,68,66,76,70,60,64,78,74,66,76,72,73,78,81,71,66,78,87,69,83,81,88
986,00:09:34,64,56,61,61,62,69,42,57,55,61,67,75,53,68,71,52,51,67,80,84,71,60,54,64,68,51,69,67,45,62,64,65,51,64,62,58,53,72,52,65,77,68,55,63,63,51,74,65,70,54,61,55,66,64,48,41,52,64,63,60,71,66,57,62,61,50,77,62,69,60,68,62,63,57,55,71,70,68,60,78,75,71,63,63,63,74,69
987,00:12:34,65,62,56,69,66,58,58,59,55,61,69,57,54,67,63,77,67,57,99,102,107,69,66,50,75,67,59,60,57,57,75,48,56,59,69,63,49,72,62,111,99,93,64,68,42,67,47,57,65,63,73,60,58,71,61,67,61,62,53,70,110,113,104,58,73,56,65,54,51,62,46,56,60,58,65,67,78,56,74,72,68,90,71,94,63,58,52
988,00:15:34,43,62,57,62,46,67,50,61,57,63,68,77,60,73,84,78,85,81,169,181,202,67,49,65,54,61,49,66,62,64,63,64,56,75,64,61,74,74,88,185,195,167,66,41,62,58,66,65,48,67,55,56,37,72,77,84,83,69,71,92,209,206,196,55,73,51,48,48,85,59,67,62,64,56,70,93,88,67,97,94,89,153,132,136,50,58,55
989,00:18:34,57,36,58,55,52,59,44,81,50,54,77,66,76,66,90,96,81,77,295,332,339,68,66,49,48,66,63,70,68,66,66,68,72,88,94,81,106,115,113,330,327,308,71,64,58,52,59,47,85,63,60,79,72,75,119,89,102,91,122,119,397,402,373,55,62,60,58,54,55,71,56,65,66,76,66,88,112,99,146,134,123,270,228,233,58,63,68
990,00:21:34,42,56,56,63,50,57,57,68,51,75,70,70,86,86,98,114,117,117,481,527,537,59,45,61,60,51,65,60,72,61,77,76,77,98,112,86,157,175,156,545,577,486,72,50,55,69,69,52,56,71,67,93,81,89,157,160,154,140,165,180,676,684,689,82,69,75,57,71,73,62,62,61,84,80,92,119,135,143,226,206,195,485,395,426,69,61,62
991,00:24:34,60,59,56,60,69,47,68,59,56,58,64,65,91,99,130,162,157,139,656,747,800,53,65,61,58,42,68,66,69,67,88,102,86,140,156,101,221,221,231,833,831,751,67,71,87,48,65,57,73,68,79,110,93,111,241,192,194,186,237,233,1005,1053,1014,81,68,61,58,67,64,71,75,67,96,95,112,171,191,183,348,322,246,757,631,655,70,64,65
992,00:27:34,55,60,56,51,63,78,60,53,61,78,89,87,132,149,159,258,193,195,933,1084,1161,55,60,48,62,53,70,69,71,67,87,87,99,189,201,169,291,313,304,1176,1195,1016,56,71,66,55,59,70,75,69,89,136,128,142,339,248,248,251,308,327,1387,1497,1433,67,81,71,68,63,70,82,89,84,137,106,145,230,258,270,465,449,365,1090,890,943,54,49,62
993,00:30:34,56,51,64,53,55,65,67,50,73,69,94,77,163,187,198,324,263,279,1291,1469,1595,63,50,58,63,55,70,61,65,78,109,127,110,232,288,226,460,413,442,1620,1578,1405,65,66,62,57,47,49,89,85,81,159,162,168,452,315,349,360,402,442,1896,1976,1969,74,65,60,80,70,66,98,104,92,148,156,165,294,367,337,648,618,512,1468,1211,1277,69,65,70
994,00:33:34,59,59,67,50,65,63,70,64,70,86,106,99,230,253,278,434,365,376,1669,1969,2143,79,59,69,83,53,53,79,76,88,134,151,128,340,372,292,591,597,579,2252,2147,1891,76,76,68,80,75,55,102,115,114,220,217,206,591,419,508,459,529,611,2495,2680,2597,71,66,56,61,74,77,139,119,92,202,175,246,409,479,478,924,842,682,2031,1674,1745,67,57,67
995,00:36:34,73,62,61,68,59,65,82,63,66,113,97,99,286,324,360,584,482,455,2182,2587,2744,61,61,82,68,75,65,112,98,97,165,199,163,420,499,384,824,785,780,2962,2788,2445,89,57,53,74,75,67,112,101,111,289,262,259,801,517,620,543,686,757,3200,3353,3358,77,76,72,91,93,78,149,153,136,287,232,296,530,641,617,1165,1106,914,2623,2225,2316,66,61,57
996,00:39:34,60,50,74,59,74,82,76,72,74,117,142,107,359,406,460,777,601,600,2726,3331,3438,66,81,85,66,75,68,118,100,92,204,254,214,534,639,509,1075,1005,1007,3753,3536,3091,73,72,68,81,76,76,149,137,139,374,324,343,990,661,777,727,854,954,3929,4186,4216,78,76,73,73,86,101,172,178,174,351,289,347,705,784,801,1474,1440,1176,3440,2888,2992,57,55,67
997,00:42:34,59,46,64,60,69,71,73,98,87,134,152,138,449,521,598,953,746,744,3423,4052,4144,87,79,63,65,68,83,105,121,112,240,326,249,682,798,662,1357,1271,1257,4675,4327,3840,89,60,82,88,94,87,182,165,141,456,411,415,1247,829,969,889,1070,1153,4794,5037,5201,101,88,80,94,95,101,225,209,202,432,343,405,862,1015,1034,1878,1800,1497,4259,3656,3749,71,56,51
998,00:45:34,40,53,66,66,79,66,96,86,88,152,178,166,542,633,754,1220,965,933,4239,5000,5074,89,78,75,85,74,78,133,131,124,329,394,294,826,989,796,1701,1600,1562,5721,5280,4640,78,89,90,91,104,95,208,215,173,584,509,514,1570,991,1263,1114,1287,1389,5766,6083,6269,102,74,89,108,113,115,266,243,221,536,447,516,1069,1210,1236,2296,2215,1821,5257,4431,4556,62,71,37
999,00:48:34,63,66,66,71,69,65,71,94,100,176,217,179,684,776,925,1455,1163,1130,4902,5958,5886,90,71,94,81,79,84,156,147,153,359,469,370,1027,1236,969,2068,1890,1880,6727,6175,5617,104,77,74,100,109,93,244,218,204,655,615,604,1815,1185,1496,1327,1586,1647,6673,7212,7396,103,93,81,121,111,111,318,287,286,637,526,589,1320,1480,1511,2744,2728,2195,6250,5346,5433,61,56,60
