,Time,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_15_rep_3,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_10_rep_3,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
14,00:33:00,0,18,0,0,6,0,0,21,8,0,10,0,20,13,16,16,31,13,73,65,90,0,0,11,0,12,13,1,17,2,19,1,6,10,15,9,19,23,21,98,90,79,12,3,3,0,0,7,16,0,5,12,15,2,19,15,25,31,11,22,97,106,92,7,11,4,0,0,0,0,12,3,2,4,8,17,19,17,44,41,26,78,68,67,0,3,11
15,00:36:00,8,5,10,3,1,0,1,2,8,1,19,6,13,25,7,11,21,21,92,100,116,0,0,0,12,0,1,17,0,0,0,11,12,3,7,7,22,26,41,116,114,97,2,1,12,0,0,7,17,8,0,11,2,11,25,20,22,19,23,32,133,149,140,0,18,2,5,11,27,12,4,15,5,10,10,21,31,28,47,44,31,112,96,101,9,0,0
16,00:39:00,0,0,0,13,3,0,2,6,0,1,9,6,19,21,22,38,18,24,110,121,143,0,8,2,6,0,15,5,7,2,0,24,20,16,24,12,54,38,42,172,150,111,19,22,13,0,4,9,12,9,21,17,23,9,49,18,37,21,34,32,164,164,162,13,6,9,11,9,0,1,16,10,30,9,18,20,26,25,55,64,47,143,117,112,17,0,0
17,00:42:00,5,13,0,0,0,9,12,0,1,17,8,0,8,16,25,41,31,28,153,167,169,3,5,1,7,0,5,2,5,0,3,17,9,34,34,33,74,63,45,180,170,164,5,4,4,10,8,0,3,9,14,24,23,14,50,30,39,38,43,57,197,208,225,0,23,5,9,8,3,0,0,9,21,32,21,29,33,35,77,81,57,171,162,161,6,16,0
18,00:45:00,0,13,9,2,4,0,4,5,1,15,16,10,20,24,20,41,42,28,161,214,205,0,9,14,9,4,7,9,2,3,5,14,23,38,49,24,80,66,77,228,214,196,8,2,2,10,9,0,9,19,18,28,17,13,61,40,43,50,52,65,236,255,261,5,7,3,2,2,0,19,6,11,17,11,29,36,42,53,99,81,68,207,183,185,6,1,7
19,00:48:00,0,0,0,4,0,13,10,0,6,4,4,23,35,46,32,58,37,51,191,247,226,13,10,3,2,6,0,8,5,7,3,27,20,51,64,47,91,69,84,291,258,236,4,0,0,10,3,9,26,9,16,20,19,41,73,43,50,57,72,56,299,297,313,3,10,22,20,7,0,23,17,14,23,30,39,51,62,68,128,117,103,255,224,232,5,4,9
20,00:51:00,5,12,11,0,5,3,12,12,16,13,19,0,40,31,51,75,54,69,243,293,285,6,0,0,5,0,3,18,10,17,25,23,22,48,55,53,94,78,86,335,314,269,0,3,0,6,0,17,2,8,2,33,29,22,94,74,72,75,81,93,323,332,355,0,4,0,0,3,12,15,17,24,38,32,31,78,75,66,135,131,113,303,261,280,8,0,0
21,00:54:00,0,1,0,7,1,6,0,9,0,6,1,18,46,43,41,88,81,54,274,352,325,12,9,8,7,10,1,0,5,21,22,12,6,53,70,57,112,103,115,381,351,315,11,14,4,2,7,12,11,6,1,35,32,25,112,84,100,79,92,76,386,385,408,8,9,4,0,11,8,40,12,21,47,33,23,87,70,87,169,151,132,355,307,315,8,8,8
22,00:57:00,0,14,4,4,0,6,0,0,0,7,8,18,34,55,64,92,80,73,341,393,374,13,5,11,0,0,3,6,8,13,24,19,11,77,84,53,131,127,132,436,386,351,12,4,13,0,12,12,0,18,0,48,44,44,128,77,103,89,92,106,420,432,471,17,24,13,11,2,0,28,25,23,37,36,44,98,96,108,190,182,142,418,347,356,0,9,7
23,01:00:00,4,19,8,0,1,1,2,8,2,13,0,18,56,69,69,120,82,86,365,454,440,0,2,0,0,0,2,23,11,18,20,34,31,97,94,84,163,144,168,490,433,403,0,9,16,3,1,0,25,9,18,51,37,56,151,84,110,114,117,113,460,495,512,2,2,1,9,5,13,30,27,32,58,44,57,104,108,117,210,202,169,474,394,406,0,4,7
24,01:03:00,6,9,0,2,0,2,9,0,0,13,19,9,59,65,82,133,100,109,422,494,483,0,10,7,0,5,0,20,10,7,26,61,47,86,101,73,162,155,171,562,505,456,13,9,15,17,15,18,27,30,18,67,56,61,159,95,138,128,154,135,529,570,575,0,0,6,4,8,4,28,29,27,47,50,52,135,131,143,237,250,192,523,456,449,7,3,3
25,01:06:00,9,1,0,13,1,2,1,0,17,27,21,22,62,74,90,153,121,106,476,579,534,11,8,0,2,4,11,12,13,8,24,49,40,102,127,103,200,195,183,602,543,499,11,7,0,8,0,17,11,25,26,73,61,62,176,110,154,146,164,132,610,640,653,8,4,13,2,9,3,28,26,24,75,41,49,128,151,148,274,264,220,576,505,511,17,2,9
26,01:09:00,0,8,6,8,0,11,0,0,0,37,18,18,86,74,98,177,130,129,533,618,583,0,17,0,11,26,16,14,0,7,45,72,46,103,136,105,234,210,213,662,600,550,15,1,0,9,7,14,24,35,26,80,69,75,194,135,183,162,170,158,658,680,712,0,9,2,25,14,19,37,21,30,76,50,65,153,169,170,294,280,249,643,563,559,15,14,4
27,01:12:00,0,7,7,14,0,10,10,17,15,34,15,12,84,85,127,190,141,146,570,668,641,4,17,7,2,15,7,13,10,7,29,52,51,133,152,116,254,225,239,706,664,611,0,0,13,2,27,8,32,37,20,93,89,87,215,148,205,181,195,161,718,765,764,8,4,7,2,19,12,36,30,23,78,65,61,163,182,196,319,332,270,717,605,605,0,4,0
28,01:15:00,16,10,0,13,18,10,7,3,7,31,28,21,90,113,125,210,167,138,635,731,705,17,7,0,0,1,0,29,16,19,48,61,45,125,162,130,287,253,253,770,703,645,1,17,10,6,18,9,33,28,34,96,79,98,239,158,228,199,215,168,798,831,808,7,16,11,10,27,4,46,32,38,89,75,80,196,210,202,355,357,304,752,689,677,5,0,4
29,01:18:00,0,3,16,0,7,12,15,0,2,35,25,22,108,113,134,231,175,175,682,800,753,9,21,0,21,7,0,6,7,24,63,68,40,140,181,148,306,296,282,829,779,730,5,0,15,14,19,1,38,39,28,96,89,103,262,163,237,191,222,161,849,873,850,8,7,11,16,14,18,45,42,46,88,83,100,210,229,236,402,382,343,831,735,744,2,4,0
30,01:21:00,4,1,16,7,1,11,19,15,18,21,29,37,107,130,130,256,197,190,737,863,823,5,0,0,0,11,14,14,16,13,65,90,50,161,207,156,334,300,314,884,856,775,14,18,14,14,23,3,57,42,34,115,104,104,276,169,264,227,256,202,913,935,931,13,10,14,7,19,16,43,30,60,109,96,84,232,254,251,423,411,382,876,784,781,4,14,2
31,01:24:00,0,3,1,13,0,0,0,2,13,16,33,28,121,137,150,253,208,198,795,924,883,12,18,6,13,13,11,2,17,25,69,82,59,178,204,180,360,337,344,947,908,815,14,10,9,20,11,29,33,41,31,117,126,115,284,185,282,239,257,203,966,979,954,21,17,0,21,23,22,54,54,40,99,99,96,247,261,271,451,472,419,932,829,831,10,0,1
32,01:27:00,5,17,0,16,0,5,19,4,0,34,28,27,137,146,190,292,231,227,823,1010,938,8,8,11,11,17,0,23,28,32,71,90,63,176,239,204,410,357,373,1001,973,894,19,2,16,3,18,18,46,36,34,135,122,127,313,202,284,264,277,201,1023,1001,1004,17,16,1,9,20,12,63,47,56,122,110,106,268,289,295,468,487,431,965,881,889,14,8,7
33,01:30:00,8,0,0,3,1,4,14,0,19,31,50,25,132,161,192,312,230,240,907,1030,1007,1,11,14,4,3,0,36,24,28,78,86,65,196,241,208,415,391,409,1062,1036,944,16,9,14,10,15,13,45,49,40,154,120,149,335,209,315,270,283,222,1048,1060,1045,7,24,2,13,27,2,51,51,56,130,111,102,287,308,310,522,509,462,1011,921,936,1,3,0
34,01:33:00,0,4,4,13,19,1,15,7,8,22,38,40,152,172,206,337,245,266,947,1099,1050,20,13,8,10,15,0,29,31,17,99,104,80,221,266,226,442,417,431,1102,1072,1002,20,6,8,17,17,14,53,54,51,144,142,148,347,219,329,277,313,226,1110,1104,1084,28,7,15,16,28,6,66,53,57,138,120,125,314,335,332,558,545,500,1044,996,989,3,0,0
35,01:36:00,0,7,8,13,1,18,24,8,3,52,57,25,171,196,209,348,269,270,1012,1146,1112,0,2,9,9,11,10,28,19,46,99,106,90,221,290,232,478,435,452,1168,1119,1050,11,8,10,20,13,12,55,53,33,146,140,160,369,237,359,295,326,254,1149,1139,1108,11,22,11,21,17,19,48,59,58,143,118,130,328,350,359,563,569,556,1109,1029,1026,0,12,9
36,01:39:00,12,0,2,8,5,0,12,12,1,36,54,40,170,186,242,375,287,300,1047,1187,1169,0,4,21,16,20,7,31,24,31,88,114,110,238,298,252,493,477,472,1216,1181,1112,20,15,10,17,24,16,62,50,46,169,141,167,389,234,378,310,324,253,1210,1159,1161,12,5,12,24,10,33,65,63,51,142,133,133,338,371,386,609,621,572,1127,1085,1108,12,0,4
37,01:42:00,0,0,0,0,6,1,16,11,24,44,64,32,189,205,228,412,302,330,1112,1247,1225,6,11,14,13,5,5,29,33,38,105,114,101,256,300,270,530,503,510,1248,1207,1148,12,12,22,20,20,13,55,63,48,160,179,167,388,241,379,317,339,268,1259,1215,1189,13,16,9,19,21,18,75,67,72,162,152,151,366,387,399,661,654,607,1183,1128,1124,0,8,8
38,01:45:00,2,0,1,11,11,4,19,17,15,51,74,44,200,226,240,427,333,347,1146,1297,1279,1,10,20,14,14,24,52,42,50,120,127,109,269,306,282,564,533,539,1310,1263,1221,4,12,15,21,22,5,59,63,61,163,155,176,408,249,402,334,361,269,1277,1251,1207,19,12,13,30,9,17,71,69,63,172,147,162,385,404,406,675,673,638,1218,1171,1170,1,25,0
39,01:48:00,0,14,3,6,0,1,23,15,14,37,69,35,207,240,248,447,343,351,1217,1352,1310,20,1,11,11,7,13,40,46,33,122,144,117,276,336,291,588,561,584,1311,1321,1256,14,19,0,20,22,22,55,55,72,180,174,183,414,275,410,336,360,292,1324,1265,1222,18,17,9,25,24,32,85,67,80,175,171,165,399,422,417,720,704,663,1257,1201,1209,1,0,0
40,01:51:00,2,0,3,0,16,11,17,18,19,49,69,55,222,232,264,479,375,373,1233,1394,1368,5,2,9,12,12,10,47,46,40,118,144,112,306,358,303,616,584,597,1391,1337,1299,10,15,18,11,0,21,65,79,65,196,174,194,456,273,428,340,364,284,1337,1282,1240,32,24,2,22,30,42,76,84,82,184,166,173,436,435,448,743,732,711,1278,1232,1241,6,9,0
